resp_var
10.0
112.0
45.0
1.0
48.0
136.0
26.0
51.0
42.0
7.0
52.0
96.0
18.0
31.0
32.0
62.0
31.0
0.0
27.0
22.0
9.0
30.0
91.0
36.0
25.0
2.0
4.0
40.0
96.0
4.0
35.0
51.0
96.0
36.0
1.0
57.0
97.0
56.0
111.0
40.0
104.0
38.0
40.0
5.0
35.0
59.0
28.0
5.0
7.0
13.0
46.0
22.0
50.0
135.0
18.0
11.0
51.0
95.0
0.0
75.0
47.0
38.0
6.0
56.0
35.0
90.0
2.0
2.0
5.0
62.0
4.0
3.0
29.0
53.0
53.0
11.0
30.0
80.0
24.0
25.0
2.0
94.0
4.0
75.0
98.0
2.0
13.0
47.0
37.0
13.0
50.0
21.0
37.0
42.0
49.0
113.0
20.0
16.0
19.0
111.0
5.0
18.0
2.0
27.0
47.0
64.0
108.0
1.0
39.0
38.0
87.0
41.0
59.0
58.0
59.0
26.0
28.0
12.0
61.0
11.0
5.0
1.0
67.0
1.0
81.0
9.0
87.0
29.0
38.0
0.0
42.0
25.0
46.0
83.0
5.0
42.0
26.0
6.0
31.0
44.0
0.0
104.0
24.0
63.0
80.0
29.0
45.0
52.0
23.0
6.0
65.0
28.0
79.0
80.0
102.0
26.0
1.0
109.0
5.0
34.0
6.0
22.0
57.0
13.0
2.0
24.0
41.0
4.0
45.0
39.0
41.0
46.0
52.0
11.0
108.0
8.0
9.0
63.0
50.0
13.0
7.0
53.0
35.0
39.0
110.0
96.0
3.0
50.0
39.0
4.0
33.0
113.0
24.0
130.0
86.0
22.0
4.0
91.0
4.0
64.0
85.0
13.0
48.0
20.0
27.0
20.0
40.0
135.0
86.0
0.0
32.0
44.0
0.0
44.0
59.0
27.0
95.0
72.0
32.0
9.0
49.0
95.0
9.0
103.0
67.0
55.0
50.0
141.0
45.0
0.0
87.0
111.0
7.0
20.0
40.0
53.0
8.0
33.0
25.0
24.0
81.0
51.0
0.0
11.0
12.0
33.0
36.0
14.0
14.0
46.0
6.0
35.0
51.0
37.0
7.0
2.0
7.0
43.0
5.0
39.0
6.0
0.0
51.0
98.0
18.0
38.0
6.0
18.0
20.0
52.0
16.0
19.0
10.0
28.0
3.0
14.0
0.0
34.0
12.0
23.0
7.0
9.0
0.0
183.0
47.0
20.0
67.0
3.0
0.0
31.0
52.0
43.0
44.0
64.0
12.0
72.0
61.0
54.0
2.0
84.0
5.0
32.0
15.0
96.0
46.0
56.0
1.0
30.0
14.0
80.0
1.0
24.0
55.0
4.0
5.0
9.0
14.0
134.0
3.0
7.0
31.0
3.0
70.0
141.0
78.0
13.0
6.0
103.0
73.0
45.0
88.0
15.0
48.0
84.0
68.0
42.0
5.0
21.0
