resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
122,90.402,31.598,31.598,25.90%,25.90%,,
32,30.3,1.7,1.7,5.31%,5.31%,,
98,67.6,30.4,30.4,31.02%,31.02%,,
17,27.6,-10.6,10.6,-62.35%,62.35%,,
2,22,-20,20,-1000.00%,1000.00%,,
23,28.3,-5.3,5.3,-23.04%,23.04%,,
2,33.9,-31.9,31.9,-1595.00%,1595.00%,,
9,33.1,-24.1,24.1,-267.78%,267.78%,,
27,28.5,-1.5,1.5,-5.56%,5.56%,,
50,41.6,8.4,8.4,16.80%,16.80%,,
17,28,-11,11,-64.71%,64.71%,,
1,5.2,-4.2,4.2,-420.00%,420.00%,,
3,19.6,-16.6,16.6,-553.33%,553.33%,,
2,8.5,-6.5,6.5,-325.00%,325.00%,,
57,42.7,14.3,14.3,25.09%,25.09%,,
14,14.5,-0.5,0.5,-3.57%,3.57%,,
27,33.3,-6.3,6.3,-23.33%,23.33%,,
19,14.9,4.1,4.1,21.58%,21.58%,,
35,25.703,9.297,9.297,26.56%,26.56%,,
119,100.2,18.8,18.8,15.80%,15.80%,,
28,17.6,10.4,10.4,37.14%,37.14%,,
80,65.1,14.9,14.9,18.63%,18.63%,,
131,97.1,33.9,33.9,25.88%,25.88%,,
13,14,-1,1,-7.69%,7.69%,,
77,64.4,12.6,12.6,16.36%,16.36%,,
0.01,10.406,-10.396,10.396,-103960.00%,103960.00%,,
24,24.6,-0.6,0.6,-2.50%,2.50%,,
105,63.601,41.399,41.399,39.43%,39.43%,,
105,72.4,32.6,32.6,31.05%,31.05%,,
34,35.5,-1.5,1.5,-4.41%,4.41%,,
1,8.8,-7.8,7.8,-780.00%,780.00%,,
31,29.1,1.9,1.9,6.13%,6.13%,,
26,32.9,-6.9,6.9,-26.54%,26.54%,,
4,6.6,-2.6,2.6,-65.00%,65.00%,,
59,54.4,4.6,4.6,7.80%,7.80%,,
65,72.5,-7.5,7.5,-11.54%,11.54%,,
83,70.1,12.9,12.9,15.54%,15.54%,,
0.01,7.805,-7.795,7.795,-77950.00%,77950.00%,,
1,6.3,-5.3,5.3,-530.00%,530.00%,,
41,34.8,6.2,6.2,15.12%,15.12%,,
32,31.901,0.099,0.099,0.31%,0.31%,,
16,22.4,-6.4,6.4,-40.00%,40.00%,,
16,14.201,1.799,1.799,11.24%,11.24%,,
0.01,19.206,-19.196,19.196,-191960.00%,191960.00%,,
17,19.9,-2.9,2.9,-17.06%,17.06%,,
2,22.3,-20.3,20.3,-1015.00%,1015.00%,,
23,19.4,3.6,3.6,15.65%,15.65%,,
66,55.5,10.5,10.5,15.91%,15.91%,,
58,52,6,6,10.34%,10.34%,,
7,4.7,2.3,2.3,32.86%,32.86%,,
21,21.8,-0.8,0.8,-3.81%,3.81%,,
33,38.2,-5.2,5.2,-15.76%,15.76%,,
22,16.401,5.599,5.599,25.45%,25.45%,,
38,35.2,2.8,2.8,7.37%,7.37%,,
192,122.9,69.1,69.1,35.99%,35.99%,,
36,45.7,-9.7,9.7,-26.94%,26.94%,,
71,56.4,14.6,14.6,20.56%,20.56%,,
118,90.501,27.499,27.499,23.30%,23.30%,,
36,30,6,6,16.67%,16.67%,,
12,22.2,-10.2,10.2,-85.00%,85.00%,,
13,19.301,-6.301,6.301,-48.47%,48.47%,,
28,52.6,-24.6,24.6,-87.86%,87.86%,,
65,65,0,0,0.00%,0.00%,,
9,13.501,-4.501,4.501,-50.01%,50.01%,,
28,29.901,-1.901,1.901,-6.79%,6.79%,,
0.01,15.307,-15.297,15.297,-152970.00%,152970.00%,,
86,68.4,17.6,17.6,20.47%,20.47%,,
8,10.3,-2.3,2.3,-28.75%,28.75%,,
73,62.401,10.599,10.599,14.52%,14.52%,,
0.01,9.807,-9.797,9.797,-97970.00%,97970.00%,,
16,32.9,-16.9,16.9,-105.63%,105.63%,,
3,3.001,-0.001,0.001,-0.03%,0.03%,,
108,86.8,21.2,21.2,19.63%,19.63%,,
67,54.301,12.699,12.699,18.95%,18.95%,,
22,22.4,-0.4,0.4,-1.82%,1.82%,,
0.01,13.107,-13.097,13.097,-130970.00%,130970.00%,,
5,7.8,-2.8,2.8,-56.00%,56.00%,,
39,28.8,10.2,10.2,26.15%,26.15%,,
28,31.9,-3.9,3.9,-13.93%,13.93%,,
28,22.502,5.498,5.498,19.64%,19.64%,,
2,20.7,-18.7,18.7,-935.00%,935.00%,,
86,75.2,10.8,10.8,12.56%,12.56%,,
83,58.802,24.198,24.198,29.15%,29.15%,,
3,2.402,0.598,0.598,19.93%,19.93%,,
0.01,1.808,-1.798,1.798,-17980.00%,17980.00%,,
40,55.8,-15.8,15.8,-39.50%,39.50%,,
87,60,27,27,31.03%,31.03%,,
37,47.5,-10.5,10.5,-28.38%,28.38%,,
61,57.4,3.6,3.6,5.90%,5.90%,,
2,30.7,-28.7,28.7,-1435.00%,1435.00%,,
30,32.9,-2.9,2.9,-9.67%,9.67%,,
86,64.5,21.5,21.5,25.00%,25.00%,,
14,21.8,-7.8,7.8,-55.71%,55.71%,,
75,72.2,2.8,2.8,3.73%,3.73%,,
58,43.7,14.3,14.3,24.66%,24.66%,,
3,35,-32,32,-1066.67%,1066.67%,,
40,41.1,-1.1,1.1,-2.75%,2.75%,,
26,46.4,-20.4,20.4,-78.46%,78.46%,,
47,34.7,12.3,12.3,26.17%,26.17%,,
68,51.7,16.3,16.3,23.97%,23.97%,,
37,33.6,3.4,3.4,9.19%,9.19%,,
87,69.9,17.1,17.1,19.66%,19.66%,,
41,24.2,16.8,16.8,40.98%,40.98%,,
17,21.1,-4.1,4.1,-24.12%,24.12%,,
