resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
38,45.6,-7.6,7.6,-20.00%,20.00%,,
47,69,-22,22,-46.81%,46.81%,,
21,22.4,-1.4,1.4,-6.67%,6.67%,,
18,21.3,-3.3,3.3,-18.33%,18.33%,,
4,17,-13,13,-325.00%,325.00%,,
44,49,-5,5,-11.36%,11.36%,,
41,32.802,8.198,8.198,20.00%,20.00%,,
1,20,-19,19,-1900.00%,1900.00%,,
65,56,9,9,13.85%,13.85%,,
92,83,9,9,9.78%,9.78%,,
104,63.001,40.999,40.999,39.42%,39.42%,,
28,65.6,-37.6,37.6,-134.29%,134.29%,,
48,46.6,1.4,1.4,2.92%,2.92%,,
40,62.1,-22.1,22.1,-55.25%,55.25%,,
12,31,-19,19,-158.33%,158.33%,,
107,77.7,29.3,29.3,27.38%,27.38%,,
39,32.9,6.1,6.1,15.64%,15.64%,,
2,11.9,-9.9,9.9,-495.00%,495.00%,,
56,36,20,20,35.71%,35.71%,,
7,20.3,-13.3,13.3,-190.00%,190.00%,,
1,7.1,-6.1,6.1,-610.00%,610.00%,,
3,16.7,-13.7,13.7,-456.67%,456.67%,,
94,48.9,45.1,45.1,47.98%,47.98%,,
21,31.7,-10.7,10.7,-50.95%,50.95%,,
16,24.1,-8.1,8.1,-50.63%,50.63%,,
32,32,0,0,0.00%,0.00%,,
3,22.9,-19.9,19.9,-663.33%,663.33%,,
32,33.8,-1.8,1.8,-5.62%,5.62%,,
22,18.1,3.9,3.9,17.73%,17.73%,,
48,42.3,5.7,5.7,11.88%,11.88%,,
9,10.901,-1.901,1.901,-21.12%,21.12%,,
12,18.4,-6.4,6.4,-53.33%,53.33%,,
46,52.2,-6.2,6.2,-13.48%,13.48%,,
47,44,3,3,6.38%,6.38%,,
14,12.601,1.399,1.399,9.99%,9.99%,,
4,8.8,-4.8,4.8,-120.00%,120.00%,,
113,101.1,11.9,11.9,10.53%,10.53%,,
92,85.7,6.3,6.3,6.85%,6.85%,,
49,45.1,3.9,3.9,7.96%,7.96%,,
27,39,-12,12,-44.44%,44.44%,,
129,104.8,24.2,24.2,18.76%,18.76%,,
69,58.8,10.2,10.2,14.78%,14.78%,,
16,16,0,0,0.00%,0.00%,,
33,32.9,0.1,0.1,0.30%,0.30%,,
17,32.7,-15.7,15.7,-92.35%,92.35%,,
47,70.9,-23.9,23.9,-50.85%,50.85%,,
14,34.1,-20.1,20.1,-143.57%,143.57%,,
54,67.6,-13.6,13.6,-25.19%,25.19%,,
47,45.1,1.9,1.9,4.04%,4.04%,,
109,88.3,20.7,20.7,18.99%,18.99%,,
18,24.9,-6.9,6.9,-38.33%,38.33%,,
60,54.6,5.4,5.4,9.00%,9.00%,,
0.01,20.906,-20.896,20.896,-208960.00%,208960.00%,,
48,50.8,-2.8,2.8,-5.83%,5.83%,,
6,20.3,-14.3,14.3,-238.33%,238.33%,,
0.01,6.706,-6.696,6.696,-66960.00%,66960.00%,,
0.01,10.107,-10.097,10.097,-100970.00%,100970.00%,,
44,36.8,7.2,7.2,16.36%,16.36%,,
46,58.3,-12.3,12.3,-26.74%,26.74%,,
11,13.602,-2.602,2.602,-23.65%,23.65%,,
61,64.7,-3.7,3.7,-6.07%,6.07%,,
18,14.7,3.3,3.3,18.33%,18.33%,,
5,21.7,-16.7,16.7,-334.00%,334.00%,,
106,97.5,8.5,8.5,8.02%,8.02%,,
9,18.9,-9.9,9.9,-110.00%,110.00%,,
31,50.3,-19.3,19.3,-62.26%,62.26%,,
27,27.9,-0.9,0.9,-3.33%,3.33%,,
0.01,3.908,-3.898,3.898,-38980.00%,38980.00%,,
30,24.101,5.899,5.899,19.66%,19.66%,,
2,13.4,-11.4,11.4,-570.00%,570.00%,,
17,15.6,1.4,1.4,8.24%,8.24%,,
49,43.6,5.4,5.4,11.02%,11.02%,,
45,37.7,7.3,7.3,16.22%,16.22%,,
178,125.1,52.9,52.9,29.72%,29.72%,,
32,25.2,6.8,6.8,21.25%,21.25%,,
86,66.5,19.5,19.5,22.67%,22.67%,,
9,12.3,-3.3,3.3,-36.67%,36.67%,,
30,29.4,0.6,0.6,2.00%,2.00%,,
28,33,-5,5,-17.86%,17.86%,,
4,12.401,-8.401,8.401,-210.03%,210.03%,,
0.01,8.307,-8.297,8.297,-82970.00%,82970.00%,,
16,21.6,-5.6,5.6,-35.00%,35.00%,,
35,47.7,-12.7,12.7,-36.29%,36.29%,,
53,41.1,11.9,11.9,22.45%,22.45%,,
3,12,-9,9,-300.00%,300.00%,,
1,8.1,-7.1,7.1,-710.00%,710.00%,,
62,53.3,8.7,8.7,14.03%,14.03%,,
5,11.3,-6.3,6.3,-126.00%,126.00%,,
20,21.8,-1.8,1.8,-9.00%,9.00%,,
47,37.8,9.2,9.2,19.57%,19.57%,,
17,22.8,-5.8,5.8,-34.12%,34.12%,,
118,92.9,25.1,25.1,21.27%,21.27%,,
86,72.6,13.4,13.4,15.58%,15.58%,,
27,39.3,-12.3,12.3,-45.56%,45.56%,,
24,55.4,-31.4,31.4,-130.83%,130.83%,,
1,8.9,-7.9,7.9,-790.00%,790.00%,,
9,22.4,-13.4,13.4,-148.89%,148.89%,,
66,55.1,10.9,10.9,16.52%,16.52%,,
4,4.7,-0.7,0.7,-17.50%,17.50%,,
53,61.1,-8.1,8.1,-15.28%,15.28%,,
35,61.1,-26.1,26.1,-74.57%,74.57%,,
39,37.9,1.1,1.1,2.82%,2.82%,,
45,27.9,17.1,17.1,38.00%,38.00%,,
25,74,-49,49,-196.00%,196.00%,,
51,57.9,-6.9,6.9,-13.53%,13.53%,,
83,62,21,21,25.30%,25.30%,,
31,50.8,-19.8,19.8,-63.87%,63.87%,,
36,45.001,-9.001,9.001,-25.00%,25.00%,,
100,85.8,14.2,14.2,14.20%,14.20%,,
24,32.2,-8.2,8.2,-34.17%,34.17%,,
39,37.4,1.6,1.6,4.10%,4.10%,,
47,51.8,-4.8,4.8,-10.21%,10.21%,,
22,23.5,-1.5,1.5,-6.82%,6.82%,,
42,39.4,2.6,2.6,6.19%,6.19%,,
98,58.8,39.2,39.2,40.00%,40.00%,,
20,52.4,-32.4,32.4,-162.00%,162.00%,,
121,98.8,22.2,22.2,18.35%,18.35%,,
9,18.7,-9.7,9.7,-107.78%,107.78%,,
37,29.5,7.5,7.5,20.27%,20.27%,,
76,81.8,-5.8,5.8,-7.63%,7.63%,,
24,26.2,-2.2,2.2,-9.17%,9.17%,,
0.01,1.708,-1.698,1.698,-16980.00%,16980.00%,,
7,32.2,-25.2,25.2,-360.00%,360.00%,,
97,89.4,7.6,7.6,7.84%,7.84%,,
23,41.1,-18.1,18.1,-78.70%,78.70%,,
18,45.1,-27.1,27.1,-150.56%,150.56%,,
40,46.2,-6.2,6.2,-15.50%,15.50%,,
120,106.601,13.399,13.399,11.17%,11.17%,,
44,37,7,7,15.91%,15.91%,,
9,24.9,-15.9,15.9,-176.67%,176.67%,,
14,17.2,-3.2,3.2,-22.86%,22.86%,,
52,47,5,5,9.62%,9.62%,,
20,26.1,-6.1,6.1,-30.50%,30.50%,,
9,8.101,0.899,0.899,9.99%,9.99%,,
15,15.1,-0.1,0.1,-0.67%,0.67%,,
50,34.001,15.999,15.999,32.00%,32.00%,,
33,54,-21,21,-63.64%,63.64%,,
23,20.1,2.9,2.9,12.61%,12.61%,,
43,44.3,-1.3,1.3,-3.02%,3.02%,,
46,34.5,11.5,11.5,25.00%,25.00%,,
6,7.5,-1.5,1.5,-25.00%,25.00%,,
0.01,8.407,-8.397,8.397,-83970.00%,83970.00%,,
73,61.9,11.1,11.1,15.21%,15.21%,,
9,8.9,0.1,0.1,1.11%,1.11%,,
78,58.9,19.1,19.1,24.49%,24.49%,,
7,15.601,-8.601,8.601,-122.87%,122.87%,,
56,57.3,-1.3,1.3,-2.32%,2.32%,,
59,46.4,12.6,12.6,21.36%,21.36%,,
1,6.8,-5.8,5.8,-580.00%,580.00%,,
1,6.801,-5.801,5.801,-580.10%,580.10%,,
19,13.701,5.299,5.299,27.89%,27.89%,,
17,34.701,-17.701,17.701,-104.12%,104.12%,,
32,31.9,0.1,0.1,0.31%,0.31%,,
61,49.2,11.8,11.8,19.34%,19.34%,,
30,37.1,-7.1,7.1,-23.67%,23.67%,,
64,41.801,22.199,22.199,34.69%,34.69%,,
41,29.601,11.399,11.399,27.80%,27.80%,,
64,44.902,19.098,19.098,29.84%,29.84%,,
69,59.5,9.5,9.5,13.77%,13.77%,,
1,4.2,-3.2,3.2,-320.00%,320.00%,,
59,56.4,2.6,2.6,4.41%,4.41%,,
28,24.8,3.2,3.2,11.43%,11.43%,,
46,25.502,20.498,20.498,44.56%,44.56%,,
26,26.5,-0.5,0.5,-1.92%,1.92%,,
44,36.6,7.4,7.4,16.82%,16.82%,,
66,44.9,21.1,21.1,31.97%,31.97%,,
26,33.8,-7.8,7.8,-30.00%,30.00%,,
10,42.3,-32.3,32.3,-323.00%,323.00%,,
39,39.4,-0.4,0.4,-1.03%,1.03%,,
57,66.3,-9.3,9.3,-16.32%,16.32%,,
57,43.1,13.9,13.9,24.39%,24.39%,,
48,29.302,18.698,18.698,38.95%,38.95%,,
2,16.2,-14.2,14.2,-710.00%,710.00%,,
3,38.9,-35.9,35.9,-1196.67%,1196.67%,,
30,27.4,2.6,2.6,8.67%,8.67%,,
2,2.7,-0.7,0.7,-35.00%,35.00%,,
21,44.4,-23.4,23.4,-111.43%,111.43%,,
8,28.4,-20.4,20.4,-255.00%,255.00%,,
16,14.9,1.1,1.1,6.88%,6.88%,,
173,125.8,47.2,47.2,27.28%,27.28%,,
29,55.1,-26.1,26.1,-90.00%,90.00%,,
33,33,0,0,0.00%,0.00%,,
59,51.2,7.8,7.8,13.22%,13.22%,,
57,56.8,0.2,0.2,0.35%,0.35%,,
24,44.5,-20.5,20.5,-85.42%,85.42%,,
47,36.6,10.4,10.4,22.13%,22.13%,,
58,45.7,12.3,12.3,21.21%,21.21%,,
26,19.601,6.399,6.399,24.61%,24.61%,,
104,83.8,20.2,20.2,19.42%,19.42%,,
48,43.9,4.1,4.1,8.54%,8.54%,,
0.01,21.804,-21.794,21.794,-217940.00%,217940.00%,,
3,35.4,-32.4,32.4,-1080.00%,1080.00%,,
10,16.4,-6.4,6.4,-64.00%,64.00%,,
57,43.2,13.8,13.8,24.21%,24.21%,,
104,83.6,20.4,20.4,19.62%,19.62%,,
71,54.1,16.9,16.9,23.80%,23.80%,,
129,63.6,65.4,65.4,50.70%,50.70%,,
39,40.1,-1.1,1.1,-2.82%,2.82%,,
7,7.9,-0.9,0.9,-12.86%,12.86%,,
44,45.2,-1.2,1.2,-2.73%,2.73%,,
49,40.2,8.8,8.8,17.96%,17.96%,,
7,13.3,-6.3,6.3,-90.00%,90.00%,,
43,38.1,4.9,4.9,11.40%,11.40%,,
4,7.601,-3.601,3.601,-90.03%,90.03%,,
14,32.4,-18.4,18.4,-131.43%,131.43%,,
61,61,0,0,0.00%,0.00%,,
24,40.1,-16.1,16.1,-67.08%,67.08%,,
3,17.5,-14.5,14.5,-483.33%,483.33%,,
4,28.9,-24.9,24.9,-622.50%,622.50%,,
1,18.001,-17.001,17.001,-1700.10%,1700.10%,,
46,34.4,11.6,11.6,25.22%,25.22%,,
53,55,-2,2,-3.77%,3.77%,,
50,51.9,-1.9,1.9,-3.80%,3.80%,,
10,29.8,-19.8,19.8,-198.00%,198.00%,,
31,22.001,8.999,8.999,29.03%,29.03%,,
2,12.9,-10.9,10.9,-545.00%,545.00%,,
3,25,-22,22,-733.33%,733.33%,,
45,44.4,0.6,0.6,1.33%,1.33%,,
1,10.6,-9.6,9.6,-960.00%,960.00%,,
77,72.7,4.3,4.3,5.58%,5.58%,,
30,36.9,-6.9,6.9,-23.00%,23.00%,,
26,20.3,5.7,5.7,21.92%,21.92%,,
28,44.9,-16.9,16.9,-60.36%,60.36%,,
67,34.6,32.4,32.4,48.36%,48.36%,,
14,20.7,-6.7,6.7,-47.86%,47.86%,,
47,42.5,4.5,4.5,9.57%,9.57%,,
95,84.3,10.7,10.7,11.26%,11.26%,,
1,12.9,-11.9,11.9,-1190.00%,1190.00%,,
13,18.4,-5.4,5.4,-41.54%,41.54%,,
20,19.7,0.3,0.3,1.50%,1.50%,,
7,12.5,-5.5,5.5,-78.57%,78.57%,,
2,15.1,-13.1,13.1,-655.00%,655.00%,,
37,36.9,0.1,0.1,0.27%,0.27%,,
60,55.6,4.4,4.4,7.33%,7.33%,,
71,55.8,15.2,15.2,21.41%,21.41%,,
84,65.5,18.5,18.5,22.02%,22.02%,,
73,59.5,13.5,13.5,18.49%,18.49%,,
15,11.901,3.099,3.099,20.66%,20.66%,,
38,43.1,-5.1,5.1,-13.42%,13.42%,,
79,74.9,4.1,4.1,5.19%,5.19%,,
1,18.4,-17.4,17.4,-1740.00%,1740.00%,,
30,41,-11,11,-36.67%,36.67%,,
0.01,31.107,-31.097,31.097,-310970.00%,310970.00%,,
44,30.9,13.1,13.1,29.77%,29.77%,,
15,21.001,-6.001,6.001,-40.01%,40.01%,,
71,58,13,13,18.31%,18.31%,,
66,40.6,25.4,25.4,38.48%,38.48%,,
39,32.5,6.5,6.5,16.67%,16.67%,,
33,29.9,3.1,3.1,9.39%,9.39%,,
53,50.2,2.8,2.8,5.28%,5.28%,,
60,57.2,2.8,2.8,4.67%,4.67%,,
67,45,22,22,32.84%,32.84%,,
4,8.5,-4.5,4.5,-112.50%,112.50%,,
2,24.4,-22.4,22.4,-1120.00%,1120.00%,,
85,73.1,11.9,11.9,14.00%,14.00%,,
44,36.6,7.4,7.4,16.82%,16.82%,,
6,23.9,-17.9,17.9,-298.33%,298.33%,,
43,49,-6,6,-13.95%,13.95%,,
35,29.401,5.599,5.599,16.00%,16.00%,,
22,24.8,-2.8,2.8,-12.73%,12.73%,,
54,33.901,20.099,20.099,37.22%,37.22%,,
24,29.6,-5.6,5.6,-23.33%,23.33%,,
2,42.4,-40.4,40.4,-2020.00%,2020.00%,,
6,30.6,-24.6,24.6,-410.00%,410.00%,,
6,13.8,-7.8,7.8,-130.00%,130.00%,,
2,12.2,-10.2,10.2,-510.00%,510.00%,,
14,17.3,-3.3,3.3,-23.57%,23.57%,,
32,33.4,-1.4,1.4,-4.38%,4.38%,,
1,11.3,-10.3,10.3,-1030.00%,1030.00%,,
43,39.2,3.8,3.8,8.84%,8.84%,,
10,31.2,-21.2,21.2,-212.00%,212.00%,,
2,15.001,-13.001,13.001,-650.05%,650.05%,,
19,34.6,-15.6,15.6,-82.11%,82.11%,,
7,23.9,-16.9,16.9,-241.43%,241.43%,,
76,70.402,5.598,5.598,7.37%,7.37%,,
25,31.601,-6.601,6.601,-26.40%,26.40%,,
49,87.3,-38.3,38.3,-78.16%,78.16%,,
15,32.8,-17.8,17.8,-118.67%,118.67%,,
35,39.5,-4.5,4.5,-12.86%,12.86%,,
7,7.401,-0.401,0.401,-5.73%,5.73%,,
40,18.303,21.697,21.697,54.24%,54.24%,,
22,23.2,-1.2,1.2,-5.45%,5.45%,,
37,45.6,-8.6,8.6,-23.24%,23.24%,,
43,45.5,-2.5,2.5,-5.81%,5.81%,,
6,18.2,-12.2,12.2,-203.33%,203.33%,,
17,17.6,-0.6,0.6,-3.53%,3.53%,,
5,4.8,0.2,0.2,4.00%,4.00%,,
2,12.7,-10.7,10.7,-535.00%,535.00%,,
25,24.7,0.3,0.3,1.20%,1.20%,,
46,39.201,6.799,6.799,14.78%,14.78%,,
20,60.1,-40.1,40.1,-200.50%,200.50%,,
60,63.4,-3.4,3.4,-5.67%,5.67%,,
23,29.8,-6.8,6.8,-29.57%,29.57%,,
63,39.101,23.899,23.899,37.93%,37.93%,,
45,55.2,-10.2,10.2,-22.67%,22.67%,,
41,27.102,13.898,13.898,33.90%,33.90%,,
19,15.301,3.699,3.699,19.47%,19.47%,,
29,27.6,1.4,1.4,4.83%,4.83%,,
33,33.6,-0.6,0.6,-1.82%,1.82%,,
36,51.3,-15.3,15.3,-42.50%,42.50%,,
74,69.3,4.7,4.7,6.35%,6.35%,,
28,20,8,8,28.57%,28.57%,,
14,47.1,-33.1,33.1,-236.43%,236.43%,,
49,49,0,0,0.00%,0.00%,,
47,55.2,-8.2,8.2,-17.45%,17.45%,,
34,30.9,3.1,3.1,9.12%,9.12%,,
3,5.5,-2.5,2.5,-83.33%,83.33%,,
3,46.8,-43.8,43.8,-1460.00%,1460.00%,,
15,13.3,1.7,1.7,11.33%,11.33%,,
33,46.7,-13.7,13.7,-41.52%,41.52%,,
60,61.9,-1.9,1.9,-3.17%,3.17%,,
21,14.401,6.599,6.599,31.42%,31.42%,,
21,40.9,-19.9,19.9,-94.76%,94.76%,,
57,48.2,8.8,8.8,15.44%,15.44%,,
8,7,1,1,12.50%,12.50%,,
42,39.9,2.1,2.1,5.00%,5.00%,,
57,51.4,5.6,5.6,9.82%,9.82%,,
76,40.802,35.198,35.198,46.31%,46.31%,,
28,29.4,-1.4,1.4,-5.00%,5.00%,,
11,26.6,-15.6,15.6,-141.82%,141.82%,,
85,53.8,31.2,31.2,36.71%,36.71%,,
6,6,0,0,0.00%,0.00%,,
36,58,-22,22,-61.11%,61.11%,,
60,57.2,2.8,2.8,4.67%,4.67%,,
14,18.2,-4.2,4.2,-30.00%,30.00%,,
1,15.301,-14.301,14.301,-1430.10%,1430.10%,,
111,106.3,4.7,4.7,4.23%,4.23%,,
37,49.7,-12.7,12.7,-34.32%,34.32%,,
8,13.6,-5.6,5.6,-70.00%,70.00%,,
23,19.8,3.2,3.2,13.91%,13.91%,,
57,48.9,8.1,8.1,14.21%,14.21%,,
62,66.4,-4.4,4.4,-7.10%,7.10%,,
74,67.4,6.6,6.6,8.92%,8.92%,,
59,44.9,14.1,14.1,23.90%,23.90%,,
0.01,4.809,-4.799,4.799,-47990.00%,47990.00%,,
0.01,1.708,-1.698,1.698,-16980.00%,16980.00%,,
5,16.5,-11.5,11.5,-230.00%,230.00%,,
33,29.4,3.6,3.6,10.91%,10.91%,,
69,58.4,10.6,10.6,15.36%,15.36%,,
124,75.701,48.299,48.299,38.95%,38.95%,,
85,58.8,26.2,26.2,30.82%,30.82%,,
79,68.4,10.6,10.6,13.42%,13.42%,,
4,20.2,-16.2,16.2,-405.00%,405.00%,,
26,19.601,6.399,6.399,24.61%,24.61%,,
22,28.6,-6.6,6.6,-30.00%,30.00%,,
0.01,0.509,-0.499,0.499,-4990.00%,4990.00%,,
35,34.7,0.3,0.3,0.86%,0.86%,,
53,32.9,20.1,20.1,37.92%,37.92%,,
58,54.2,3.8,3.8,6.55%,6.55%,,
41,41.3,-0.3,0.3,-0.73%,0.73%,,
0.01,8.306,-8.296,8.296,-82960.00%,82960.00%,,
2,9.9,-7.9,7.9,-395.00%,395.00%,,
6,5.5,0.5,0.5,8.33%,8.33%,,
30,30,0,0,0.00%,0.00%,,
17,27.7,-10.7,10.7,-62.94%,62.94%,,
0.01,6.009,-5.999,5.999,-59990.00%,59990.00%,,
3,2.701,0.299,0.299,9.97%,9.97%,,
0.01,31.507,-31.497,31.497,-314970.00%,314970.00%,,
70,52,18,18,25.71%,25.71%,,
0.01,8.206,-8.196,8.196,-81960.00%,81960.00%,,
69,57.1,11.9,11.9,17.25%,17.25%,,
43,35.1,7.9,7.9,18.37%,18.37%,,
25,27.601,-2.601,2.601,-10.40%,10.40%,,
5,7.401,-2.401,2.401,-48.02%,48.02%,,
63,41.5,21.5,21.5,34.13%,34.13%,,
63,57.4,5.6,5.6,8.89%,8.89%,,
50,40.3,9.7,9.7,19.40%,19.40%,,
26,21.4,4.6,4.6,17.69%,17.69%,,
76,61.9,14.1,14.1,18.55%,18.55%,,
104,91.7,12.3,12.3,11.83%,11.83%,,
72,55.601,16.399,16.399,22.78%,22.78%,,
22,35.4,-13.4,13.4,-60.91%,60.91%,,
31,36.9,-5.9,5.9,-19.03%,19.03%,,
19,17,2,2,10.53%,10.53%,,
2,1.702,0.298,0.298,14.90%,14.90%,,
68,56.7,11.3,11.3,16.62%,16.62%,,
4,11.2,-7.2,7.2,-180.00%,180.00%,,
41,35.4,5.6,5.6,13.66%,13.66%,,
16,14.201,1.799,1.799,11.24%,11.24%,,
28,22.3,5.7,5.7,20.36%,20.36%,,
27,30.6,-3.6,3.6,-13.33%,13.33%,,
18,22.4,-4.4,4.4,-24.44%,24.44%,,
87,80.5,6.5,6.5,7.47%,7.47%,,
27,32.8,-5.8,5.8,-21.48%,21.48%,,
26,29.1,-3.1,3.1,-11.92%,11.92%,,
26,34.3,-8.3,8.3,-31.92%,31.92%,,
12,36.4,-24.4,24.4,-203.33%,203.33%,,
18,15.6,2.4,2.4,13.33%,13.33%,,
101,92.7,8.3,8.3,8.22%,8.22%,,
76,69.1,6.9,6.9,9.08%,9.08%,,
115,95.3,19.7,19.7,17.13%,17.13%,,
4,4.4,-0.4,0.4,-10.00%,10.00%,,
106,107.4,-1.4,1.4,-1.32%,1.32%,,
66,66.2,-0.2,0.2,-0.30%,0.30%,,
99,83.6,15.4,15.4,15.56%,15.56%,,
99,90.2,8.8,8.8,8.89%,8.89%,,
47,31.001,15.999,15.999,34.04%,34.04%,,
6,28.102,-22.102,22.102,-368.37%,368.37%,,
101,87.4,13.6,13.6,13.47%,13.47%,,
10,14.4,-4.4,4.4,-44.00%,44.00%,,
21,26.6,-5.6,5.6,-26.67%,26.67%,,
31,18.701,12.299,12.299,39.67%,39.67%,,
10,14.001,-4.001,4.001,-40.01%,40.01%,,
4,16.2,-12.2,12.2,-305.00%,305.00%,,
94,74.7,19.3,19.3,20.53%,20.53%,,
84,55.1,28.9,28.9,34.40%,34.40%,,
15,25.2,-10.2,10.2,-68.00%,68.00%,,
13,24.6,-11.6,11.6,-89.23%,89.23%,,
24,23.3,0.7,0.7,2.92%,2.92%,,
0.01,1.008,-0.998,0.998,-9980.00%,9980.00%,,
2,14.4,-12.4,12.4,-620.00%,620.00%,,
73,51.9,21.1,21.1,28.90%,28.90%,,
0.01,2.808,-2.798,2.798,-27980.00%,27980.00%,,
20,36.401,-16.401,16.401,-82.00%,82.00%,,
79,65.2,13.8,13.8,17.47%,17.47%,,
8,12.8,-4.8,4.8,-60.00%,60.00%,,
0.01,14.306,-14.296,14.296,-142960.00%,142960.00%,,
19,15.8,3.2,3.2,16.84%,16.84%,,
74,66.8,7.2,7.2,9.73%,9.73%,,
75,71.2,3.8,3.8,5.07%,5.07%,,
24,27.5,-3.5,3.5,-14.58%,14.58%,,
91,78.4,12.6,12.6,13.85%,13.85%,,
34,40.4,-6.4,6.4,-18.82%,18.82%,,
9,21.9,-12.9,12.9,-143.33%,143.33%,,
40,43.801,-3.801,3.801,-9.50%,9.50%,,
96,79.6,16.4,16.4,17.08%,17.08%,,
55,54.9,0.1,0.1,0.18%,0.18%,,
91,64.3,26.7,26.7,29.34%,29.34%,,
121,65.3,55.7,55.7,46.03%,46.03%,,
35,28.9,6.1,6.1,17.43%,17.43%,,
18,18.7,-0.7,0.7,-3.89%,3.89%,,
91,77.3,13.7,13.7,15.05%,15.05%,,
8,8.1,-0.1,0.1,-1.25%,1.25%,,
99,84.3,14.7,14.7,14.85%,14.85%,,
57,50.6,6.4,6.4,11.23%,11.23%,,
7,26.3,-19.3,19.3,-275.71%,275.71%,,
11,16.502,-5.502,5.502,-50.02%,50.02%,,
0.01,13.005,-12.995,12.995,-129950.00%,129950.00%,,
6,15,-9,9,-150.00%,150.00%,,
27,23.4,3.6,3.6,13.33%,13.33%,,
5,21,-16,16,-320.00%,320.00%,,
33,31.4,1.6,1.6,4.85%,4.85%,,
79,79,0,0,0.00%,0.00%,,
49,31.4,17.6,17.6,35.92%,35.92%,,
56,57.1,-1.1,1.1,-1.96%,1.96%,,
28,40.3,-12.3,12.3,-43.93%,43.93%,,
38,36.8,1.2,1.2,3.16%,3.16%,,
26,42.2,-16.2,16.2,-62.31%,62.31%,,
59,60.3,-1.3,1.3,-2.20%,2.20%,,
46,46,0,0,0.00%,0.00%,,
2,18.3,-16.3,16.3,-815.00%,815.00%,,
35,31.6,3.4,3.4,9.71%,9.71%,,
5,5.5,-0.5,0.5,-10.00%,10.00%,,
48,42.4,5.6,5.6,11.67%,11.67%,,
9,16.4,-7.4,7.4,-82.22%,82.22%,,
42,26.9,15.1,15.1,35.95%,35.95%,,
24,23.5,0.5,0.5,2.08%,2.08%,,
70,63.3,6.7,6.7,9.57%,9.57%,,
11,12.8,-1.8,1.8,-16.36%,16.36%,,
87,72.1,14.9,14.9,17.13%,17.13%,,
1,24.1,-23.1,23.1,-2310.00%,2310.00%,,
27,35.8,-8.8,8.8,-32.59%,32.59%,,
50,35.9,14.1,14.1,28.20%,28.20%,,
2,26.2,-24.2,24.2,-1210.00%,1210.00%,,
56,53.6,2.4,2.4,4.29%,4.29%,,
0.01,1.507,-1.497,1.497,-14970.00%,14970.00%,,
7,19.4,-12.4,12.4,-177.14%,177.14%,,
1,11.9,-10.9,10.9,-1090.00%,1090.00%,,
3,12.8,-9.8,9.8,-326.67%,326.67%,,
6,11.9,-5.9,5.9,-98.33%,98.33%,,
42,49.5,-7.5,7.5,-17.86%,17.86%,,
51,51,0,0,0.00%,0.00%,,
105,59.3,45.7,45.7,43.52%,43.52%,,
37,31.6,5.4,5.4,14.59%,14.59%,,
119,97,22,22,18.49%,18.49%,,
45,33.801,11.199,11.199,24.89%,24.89%,,
43,31.1,11.9,11.9,27.67%,27.67%,,
16,16,0,0,0.00%,0.00%,,
107,74.8,32.2,32.2,30.09%,30.09%,,
4,5.3,-1.3,1.3,-32.50%,32.50%,,
16,14.7,1.3,1.3,8.13%,8.13%,,
17,25.5,-8.5,8.5,-50.00%,50.00%,,
40,25.401,14.599,14.599,36.50%,36.50%,,
1,20.8,-19.8,19.8,-1980.00%,1980.00%,,
73,71.2,1.8,1.8,2.47%,2.47%,,
8,37.2,-29.2,29.2,-365.00%,365.00%,,
56,40.8,15.2,15.2,27.14%,27.14%,,
23,26.1,-3.1,3.1,-13.48%,13.48%,,
23,25.1,-2.1,2.1,-9.13%,9.13%,,
6,5.9,0.1,0.1,1.67%,1.67%,,
7,14.8,-7.8,7.8,-111.43%,111.43%,,
2,19.4,-17.4,17.4,-870.00%,870.00%,,
4,27.9,-23.9,23.9,-597.50%,597.50%,,
48,47.4,0.6,0.6,1.25%,1.25%,,
3,13.1,-10.1,10.1,-336.67%,336.67%,,
,1,1,1,1,1,,
