Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Short,Matthew,MW,Matthew Short,MW Short,249100,Adelaide Strikers,ALLR,1,0
Overton,Jamie,J,Jamie Overton,J Overton,229500,Adelaide Strikers,ALLR,1,1
Smith,Steve,SPD,Steve Smith,SPD Smith,218400,Sydney Sixers,BAT,0,0
Bartlett,Xavier,XC,Xavier Bartlett,XC Bartlett,183600,Brisbane Heat,BOWL,1,0
Behrendorff,Jason,JP,Jason Behrendorff,JP Behrendorff,183400,Perth Scorchers,BOWL,1,0
Maxwell,Glenn,GJ,Glenn Maxwell,GJ Maxwell,182000,Melbourne Stars,ALLR,1,0
Dwarshuis,Ben,BJ,Ben Dwarshuis,BJ Dwarshuis,178600,Sydney Sixers,BOWL,1,0
Neser,Michael,MG,Michael Neser,MG Neser,175400,Brisbane Heat,ALLR,1,0
Sutherland,Will,W,Will Sutherland,W Sutherland,174200,Melbourne Renegades,ALLR,1,1
Bird,Jackson,JM,Jackson Bird,JM Bird,171900,Sydney Sixers,BOWL,0,0
Rogers,Tom,TS,Tom Rogers,TS Rogers,171200,Melbourne Renegades,BOWL,1,0
Duckett,Ben,BM,Ben Duckett,BM Duckett,170800,Melbourne Stars,WK,1,0
Connolly,Cooper,C,Cooper Connolly,C Connolly,169200,Perth Scorchers,ALLR,1,0
Philippe,Josh,JR,Josh Philippe,JR Philippe,169100,Sydney Sixers,WK,1,0
Carey,Alex,AT,Alex Carey,AT Carey,167500,Adelaide Strikers,WK,0,0
Ellis,Nathan,NT,Nathan Ellis,NT Ellis,164400,Hobart Hurricanes,BOWL,1,0
Ferguson,Lockie,,Lockie Ferguson,Lockie Ferguson,159000,Sydney Thunder,BOWL,1,0
Johnson,Spencer,SH,Spencer Johnson,SH Johnson,157800,Brisbane Heat,BOWL,1,0
Richardson,Jhye,JA,Jhye Richardson,JA Richardson,157700,Perth Scorchers,BOWL,1,0
Vince,James,JM,James Vince,JM Vince,157200,Sydney Sixers,BAT,1,0
Seifert,Tim,,Tim Seifert,Tim Seifert,155500,Melbourne Renegades,WK,1,0
Hosein,Akeal,AJ,Akeal Hosein,AJ Hosein,155200,Sydney Sixers,BOWL,1,0
Billings,Sam,SW,Sam Billings,SW Billings,153600,Sydney Thunder,WK,1,0
Sams,Daniel,DR,Daniel Sams,DR Sams,152300,Sydney Thunder,ALLR,1,0
Marsh,Mitchell,MR,Mitchell Marsh,MR Marsh,152000,Perth Scorchers,ALLR,0,0
Owen,Mitch,MJ,Mitch Owen,MJ Owen,147500,Hobart Hurricanes,ALLR,1,0
Agar,Wes,WA,Wes Agar,WA Agar,146800,Sydney Thunder,BOWL,1,0
Hardie,Aaron,AM,Aaron Hardie,AM Hardie,146200,Perth Scorchers,ALLR,1,0
Tye,Andrew,AJ,Andrew Tye,AJ Tye,142400,Perth Scorchers,BOWL,1,0
Edwards,Jack,J,Jack Edwards,J Edwards,141700,Sydney Sixers,ALLR,1,1
Curran,Tom,TK,Tom Curran,TK Curran,140700,Melbourne Stars,ALLR,0,0
Agar,Ashton,AC,Ashton Agar,AC Agar,138400,Perth Scorchers,BOWL,1,0
Abbott,Sean,SA,Sean Abbott,SA Abbott,138000,Sydney Sixers,BOWL,0,0
Inglis,Josh,JP,Josh Inglis,JP Inglis,136200,Perth Scorchers,WK,0,0
Pope,Lloyd,L,Lloyd Pope,L Pope,135600,Adelaide Strikers,BOWL,1,1
Walter,Paul,PI,Paul Walter,PI Walter,135300,Brisbane Heat,ALLR,1,0
Warner,David,DA,David Warner,DA Warner,133800,Sydney Thunder,BAT,1,0
Hughes,Daniel,DP,Daniel Hughes,DP Hughes,131400,Sydney Sixers,BAT,0,0
Lynn,Chris,CA,Chris Lynn,CA Lynn,131200,Adelaide Strikers,BAT,1,0
McDermott,Ben,BR,Ben McDermott,BR McDermott,131100,Hobart Hurricanes,WK,1,0
Turner,Ashton,AJ,Ashton Turner,AJ Turner,130300,Perth Scorchers,BAT,1,0
Head,Travis,TM,Travis Head,TM Head,130000,Adelaide Strikers,ALLR,0,0
Khawaja,Usman,UT,Usman Khawaja,UT Khawaja,130000,Brisbane Heat,BAT,0,0
Labuschagne,Marnus,M,Marnus Labuschagne,M Labuschagne,130000,Brisbane Heat,BAT,0,0
Green,Chris,CJ,Chris Green,CJ Green,129700,Sydney Thunder,BOWL,1,0
Webster,Beau,BJ,Beau Webster,BJ Webster,129600,Melbourne Stars,ALLR,0,0
Morris,Lance,LR,Lance Morris,LR Morris,128100,Perth Scorchers,BOWL,1,0
O'Neill,Fergus,F,Fergus O'Neill,F O'Neill,128000,Melbourne Renegades,BOWL,0,1
Meredith,Riley,RP,Riley Meredith,RP Meredith,126600,Hobart Hurricanes,BOWL,1,0
Wright,Mac,M,Mac Wright,M Wright,126300,Hobart Hurricanes,BAT,0,0
McSweeney,Nathan,NA,Nathan McSweeney,NA McSweeney,125600,Brisbane Heat,BAT,1,0
Pope,Ollie,,Ollie Pope,Ollie Pope,125500,Adelaide Strikers,BAT,1,0
Wade,Matthew,MS,Matthew Wade,MS Wade,124900,Hobart Hurricanes,WK,1,0
Mir,Usama,Usama,Usama Mir,Usama Mir,124700,Melbourne Stars,BOWL,1,0
Sangha,Tanveer,T,Tanveer Sangha,T Sangha,124400,Sydney Thunder,BOWL,0,0
Jordan,Chris,CJ,Chris Jordan,CJ Jordan,124000,Hobart Hurricanes,BOWL,1,0
Short,D'Arcy,DJM,D'Arcy Short,DJM Short,123600,Adelaide Strikers,BAT,1,0
Thornton,Henry,HTRY,Henry Thornton,HTRY Thornton,123200,Adelaide Strikers,BOWL,1,1
Stoinis,Marcus,MP,Marcus Stoinis,MP Stoinis,121300,Melbourne Stars,ALLR,1,1
Bancroft,Cameron,CT,Cameron Bancroft,CT Bancroft,120900,Sydney Thunder,WK,1,0
Hope,Shai,,Shai Hope,Shai Hope,119300,Hobart Hurricanes,WK,1,0
Bryant,Max,M,Max Bryant,M Bryant,118000,Brisbane Heat,BAT,1,0
Alsop,Tom,,Tom Alsop,Tom Alsop,117500,Brisbane Heat,WK,1,0
Chohan,Jafer,,Jafer Chohan,Jafer Chohan,117500,Sydney Sixers,BOWL,0,0
Allen,Fabian,,Fabian Allen,Fabian Allen,115700,Adelaide Strikers,ALLR,0,0
Khan,Hassan,,Hassan Khan,Hassan Khan,115000,Melbourne Renegades,ALLR,0,0
Evans,Laurie,LJ,Laurie Evans,LJ Evans,114600,Melbourne Renegades,BAT,1,0
Kerr,Hayden,H,Hayden Kerr,H Kerr,113700,Sydney Sixers,ALLR,1,0
Peirson,Jimmy,JJ,Jimmy Peirson,JJ Peirson,113100,Brisbane Heat,WK,0,0
Brown,Josh,J,Josh Brown,J Brown,110900,Melbourne Renegades,BAT,1,1
Clarke,Joe,JM,Joe Clarke,JM Clarke,110600,Melbourne Stars,WK,0,0
Silk,Jordan,JC,Jordan Silk,JC Silk,109300,Sydney Sixers,BAT,1,0
Kelly,Matt,M,Matt Kelly,M Kelly,108600,Perth Scorchers,BOWL,0,0
Chaudhary,Nikhil,Nikhil,Nikhil Chaudhary,Nikhil Chaudhary,105100,Hobart Hurricanes,ALLR,1,0
Milne,Adam,AF,Adam Milne,AF Milne,102600,Melbourne Stars,BOWL,0,0
Doggett,Brendan,B,Brendan Doggett,B Doggett,102200,Adelaide Strikers,BOWL,1,0
Bethell,Jacob,,Jacob Bethell,Jacob Bethell,101600,Melbourne Renegades,ALLR,1,0
Renshaw,Matthew,MT,Matthew Renshaw,MT Renshaw,100000,Brisbane Heat,BAT,1,0
Jennings,Keaton,,Keaton Jennings,Keaton Jennings,98700,Perth Scorchers,BAT,0,0
Siddle,Peter,PM,Peter Siddle,PM Siddle,98100,Melbourne Stars,BOWL,1,1
Weatherald,Jake,J,Jake Weatherald,J Weatherald,96400,Adelaide Strikers,BAT,1,0
Murphy,Todd,T,Todd Murphy,T Murphy,96300,Sydney Sixers,BOWL,1,0
Henriques,Moises,MC,Moises Henriques,MC Henriques,96200,Sydney Sixers,ALLR,1,0
Sandhu,Gurinder,GS,Gurinder Sandhu,GS Sandhu,94100,Melbourne Renegades,BOWL,0,0
Kuhnemann,Matthew,MP,Matthew Kuhnemann,MP Kuhnemann,89000,Brisbane Heat,BOWL,1,0
Zampa,Adam,A,Adam Zampa,A Zampa,88400,Melbourne Renegades,BOWL,1,0
Hurst,Matthew,,Matthew Hurst,Matthew Hurst,88200,Perth Scorchers,WK,1,0
Dooley,Paddy,PG,Paddy Dooley,PG Dooley,88000,Hobart Hurricanes,BOWL,0,0
Fraser-McGurk,Jake,J,Jake Fraser-McGurk,J Fraser-McGurk,87700,Melbourne Renegades,BAT,1,0
Salamkheil,Waqar,,Waqar Salamkheil,Waqar Salamkheil,86500,Hobart Hurricanes,BOWL,1,0
Boyce,Cameron,CJ,Cameron Boyce,CJ Boyce,85200,Adelaide Strikers,BOWL,1,0
Hossain,Rishad,,Rishad Hossain,Rishad Hossain,85000,Hobart Hurricanes,ALLR,0,0
Paris,Joel,JS,Joel Paris,JS Paris,85000,Melbourne Stars,BOWL,1,0
Boland,Scott,SM,Scott Boland,SM Boland,84700,Melbourne Stars,BOWL,0,0
Allen,Finn,,Finn Allen,Finn Allen,84200,Perth Scorchers,BAT,1,0
Richardson,Kane,KW,Kane Richardson,KW Richardson,84000,Melbourne Renegades,BOWL,1,0
Ross,Alex,AI,Alex Ross,AI Ross,84000,Adelaide Strikers,BAT,1,0
Steketee,Mark,MT,Mark Steketee,MT Steketee,83500,Melbourne Stars,BOWL,1,0
McAndrew,Nathan,N,Nathan McAndrew,N McAndrew,83300,Sydney Thunder,BOWL,0,0
Sangha,Jason,JJS,Jason Sangha,JJS Sangha,82300,Sydney Thunder,BAT,0,0
Hobson,Nick,NR,Nick Hobson,NR Hobson,82100,Perth Scorchers,BAT,1,0
Swepson,Mitchell,MJ,Mitchell Swepson,MJ Swepson,81100,Brisbane Heat,BOWL,1,0
Davies,Ollie,O,Ollie Davies,O Davies,80200,Sydney Thunder,BAT,1,0
Hatzoglou,Peter,P,Peter Hatzoglou,P Hatzoglou,79700,Hobart Hurricanes,BOWL,1,0
Patterson,Kurtis,KR,Kurtis Patterson,KR Patterson,79600,Sydney Sixers,BAT,1,0
Wells,Jon,JW,Jon Wells,JW Wells,78100,Melbourne Renegades,BAT,0,0
Stanlake,Billy,B,Billy Stanlake,B Stanlake,77500,Hobart Hurricanes,BOWL,1,0
Konstas,Sam,,Sam Konstas,Sam Konstas,75600,Sydney Thunder,BAT,0,0
Munro,Colin,C,Colin Munro,C Munro,75600,Brisbane Heat,BAT,1,0
Harper,Sam,SB,Sam Harper,SB Harper,74300,Melbourne Stars,WK,1,1
Rutherford,Sherfane,,Sherfane Rutherford,Sherfane Rutherford,74200,Sydney Thunder,BAT,1,0
Bazley,James,JJ,James Bazley,JJ Bazley,71700,Adelaide Strikers,ALLR,1,0
