,player,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3
109,TF Rogers,Tom Rogers,272.0,27.2,47.0,1.0,26.5,12.743625857659191,10.0,424.0,30.285714285714285,66.0,0.0,32.0,21.850641854429576,14.0,37.0,37.0,37.0,37.0,37.0,,1.0
110,AI Ross,Alex Ross,214.0,26.75,71.0,2.0,17.5,23.511395413409947,8.0,376.0,28.923076923076923,66.0,2.0,28.0,22.91455701245222,13.0,347.0,38.55555555555556,107.0,0.0,29.0,38.92978008899842,9.0
111,Sherfane Rutherford,Sherfane Rutherford,,,,,,,,,,,,,,,,,,,,,
112,Waqar Salamkheil,Waqar Salamkheil,,,,,,,,,,,,,,,,,,,,,
113,Will Salzmann,Will Salzmann,,,,,,,,,,,,,,,,,,,,,
114,DR Sams,Daniel Sams,501.0,55.666666666666664,167.0,7.0,30.0,54.4426303552648,9.0,776.0,55.42857142857143,135.0,2.0,62.5,43.739991005792554,14.0,903.0,60.2,159.0,5.0,50.0,41.54550001418411,15.0
115,GS Sandhu,Gurinder Sandhu,118.0,29.5,51.0,9.0,29.0,20.174241001832016,4.0,364.0,45.5,95.0,6.0,47.5,27.32868717771022,8.0,599.0,54.45454545454545,115.0,5.0,53.0,36.492091297604844,11.0
116,JJS Sangha,Jason Sangha,30.0,15.0,19.0,11.0,15.0,5.656854249492381,2.0,55.0,11.0,24.0,0.0,10.0,8.602325267042627,5.0,663.0,55.25,149.0,3.0,48.5,39.09225684780229,12.0
117,T Sangha,Tanveer Sangha,327.0,40.875,94.0,4.0,37.0,27.398839912876394,8.0,,,,,,,,588.0,49.0,84.0,4.0,51.5,27.379488009025362,12.0
118,Liam Scott,Liam Scott,,,,,,,,,,,,,,,,,,,,,
119,Tim Seifert,Tim Seifert,,,,,,,,,,,,,,,,,,,,,
120,DJM Short,D'Arcy Short,346.0,31.454545454545453,86.0,3.0,25.0,26.496655020449793,11.0,180.0,18.0,50.0,3.0,16.5,13.416407864998739,10.0,776.0,51.733333333333334,93.0,13.0,42.0,26.464171646820553,15.0
121,MW Short,Matthew Short,986.0,89.63636363636364,155.0,11.0,92.0,43.658384595110086,11.0,1079.0,77.07142857142857,168.0,27.0,65.5,42.901433158263686,14.0,1124.0,70.25,163.0,5.0,69.0,46.08470462094772,16.0
122,PM Siddle,Peter Siddle,127.0,31.75,47.0,9.0,35.5,16.235249715767644,4.0,328.0,29.818181818181817,83.0,-2.0,25.0,29.603439603593976,11.0,937.0,55.11764705882353,135.0,4.0,47.0,35.810058560656486,17.0
123,JC Silk,Jordan Silk,269.0,26.9,91.0,0.0,21.0,28.199487781006077,10.0,478.0,34.142857142857146,79.0,0.0,32.5,24.803402815113724,14.0,209.0,20.9,56.0,0.0,21.0,19.632456120754053,10.0
124,SPD Smith,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,
125,Matthew Spoors,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,
