,Name,player,Team,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,Opposition,Venue,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder,venue_Adelaide Oval,venue_GABBA,venue_Hobart,venue_Marvel,venue_Melbourne Cricket Ground,venue_Other,venue_Perth Stadium,venue_SCG,venue_Sydney Showground,rank_group_High,rank_group_Low,rank_group_Middle,Home_Adelaide Strikers,Home_Melbourne Stars,Home_Melbourne Renegades,Home_Brisbane Heat,Home_Perth Scorchers,Home_Sydney Sixers,Home_Sydney Thunder,Home_Hobart Hurricanes,Game,prev_game_fp,last_2g_avg_fp,last_3g_avg_fp,curr_seas_total_fp,curr_seas_avg_fp,curr_seas_max_fp,curr_seas_min_fp,curr_seas_std_fp,match_cnt,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f,bat_position_1.0,bat_position_2.0,bat_position_3.0,bat_position_4.0,bat_position_5.0,bat_position_6.0,bat_position_7.0,bat_position_8.0,bat_position_9.0,bat_position_10.0,bat_position_11.0,bat_position_DNB,exp_pts
1238,Jordan Silk,JC Silk,Sydney Sixers,0,8,Jordan Silk,269.0,26.9,91.0,0.0,21.0,28.19948778100608,10.0,478.0,34.142857142857146,79.0,0.0,32.5,24.803402815113724,14.0,209.0,20.9,56.0,0.0,21.0,19.632456120754053,10.0,14,7,Adelaide Strikers,Adelaide Oval,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,20.0,44.5,44.5,162.0,40.5,69.0,12.0,28.664728616658255,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,29.723205000000014
1239,Jordan Silk,JC Silk,Sydney Sixers,1,9,Jordan Silk,269.0,26.9,91.0,0.0,21.0,28.19948778100608,10.0,478.0,34.142857142857146,79.0,0.0,32.5,24.803402815113724,14.0,209.0,20.9,56.0,0.0,21.0,19.632456120754053,10.0,14,5,Sydney Thunder,SCG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,20.0,44.5,44.5,162.0,40.5,69.0,12.0,28.664728616658255,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,30.62465000000001
1240,Steve Smith,SPD Smith,Sydney Sixers,1,1,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,3,Melbourne Renegades,SCG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62328166666665
1241,Steve Smith,SPD Smith,Sydney Sixers,0,2,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,5,Sydney Thunder,Sydney Showground,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96670999999999
1242,Steve Smith,SPD Smith,Sydney Sixers,1,3,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,8,Melbourne Stars,SCG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.11155499999999
1243,Steve Smith,SPD Smith,Sydney Sixers,0,3,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,4,Brisbane Heat,GABBA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.663003249999996
1244,Steve Smith,SPD Smith,Sydney Sixers,0,4,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,6,Hobart Hurricanes,Hobart,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.680193928571406
1245,Steve Smith,SPD Smith,Sydney Sixers,0,5,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,4,Brisbane Heat,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.663003249999996
1246,Steve Smith,SPD Smith,Sydney Sixers,0,6,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,8,Melbourne Stars,Melbourne Cricket Ground,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.049148333333314
1247,Steve Smith,SPD Smith,Sydney Sixers,1,7,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,2,Perth Scorchers,SCG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.67924404761902
1248,Steve Smith,SPD Smith,Sydney Sixers,0,8,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,7,Adelaide Strikers,Adelaide Oval,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4835116666667
1249,Steve Smith,SPD Smith,Sydney Sixers,1,9,Steve Smith,86.0,43.0,86.0,0.0,43.0,60.81118318204309,2.0,481.0,96.2,170.0,18.0,101.0,64.39099315898149,5.0,,,,,,,,14,5,Sydney Thunder,SCG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.63355999999999
1250,Matthew Spoors,Matthew Spoors,Perth Scorchers,1,1,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,,14,8,Melbourne Stars,Perth Stadium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.45968999999999
1251,Matthew Spoors,Matthew Spoors,Perth Scorchers,0,2,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,,14,6,Hobart Hurricanes,Hobart,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82870499999998
1252,Matthew Spoors,Matthew Spoors,Perth Scorchers,0,2,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,,14,3,Melbourne Renegades,Marvel,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.378689999999985
1253,Matthew Spoors,Matthew Spoors,Perth Scorchers,1,3,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,,14,4,Brisbane Heat,Perth Stadium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17763999999998
1254,Matthew Spoors,Matthew Spoors,Perth Scorchers,0,4,Matthew Spoors,,,,,,,,,,,,,,,,,,,,,,14,7,Adelaide Strikers,Adelaide Oval,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.078685
