,match_id,bowler,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f
58,524919,SK Warne,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
59,524920,B Laughlin,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
60,524920,B Lee,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
61,524920,BW Hilfenhaus,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,524920,DJ Bravo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
63,524920,DJ Thornely,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,524920,JJ Krejza,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
65,524920,JR Hazlewood,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
66,524920,MA Starc,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
67,524920,MC Henriques,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
68,524920,Naved-ul-Hasan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
69,524920,SCG MacGill,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
70,524920,XJ Doherty,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
71,524921,AB McDonald,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
72,524921,Abdul Razzaq,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,524921,BM Edmondson,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
74,524921,GB Hogg,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
75,524921,GJ Maxwell,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
76,524921,MA Beer,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
77,524921,MJ North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,524921,MR Marsh,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,524921,NJ Rimmington,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
80,524921,PD Collingwood,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,524921,SM Harwood,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
82,524921,SW Tait,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,524921,Shahid Afridi,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
84,524922,AC Thomas,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
85,524922,AW O'Brien,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
86,524922,BE McGain,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
87,524922,CH Gayle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,524922,CJ Borgas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,524922,DE Bollinger,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
90,524922,FH Edwards,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
91,524922,J Botha,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
92,524922,KW Richardson,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
93,524922,LA Doran,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
94,524922,SA Abbott,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
95,524922,SJ Coyte (2),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
96,524923,B Lee,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,524923,CJ McKay,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
98,524923,CP Simpson,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,524923,DJ Hussey,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
100,524923,DJ Thornely,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,524923,JP Faulkner,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
102,524923,LJ Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
