,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Ben Dwarshuis,185000,Sydney Sixers,0,0,1,BOWL,1,1,1,105.10513499999999,51.90704499999999
1,Fergus O'Neill,140500,Melbourne Renegades,0,0,1,BOWL,1,1,1,169.482095,111.376565
2,Hayden Kerr,110700,Sydney Sixers,0,1,1,ALLR,1,1,1,97.30552,49.22301
3,Henry Thornton,114000,Adelaide Strikers,0,0,1,BOWL,1,1,1,121.87855500000003,81.63021500000002
4,Jack Edwards,153000,Sydney Sixers,0,1,1,ALLR,1,1,1,112.03755000000001,56.93352
5,Jamie Overton,242000,Adelaide Strikers,0,1,1,ALLR,1,1,1,170.48418999999987,109.82411499999988
6,Josh Brown,103000,Melbourne Renegades,0,1,0,BAT,1,1,1,131.323055,87.01935500000002
7,Lloyd Pope,155900,Adelaide Strikers,0,0,1,BOWL,1,1,1,149.645605,96.69509499999998
8,Marcus Stoinis,114700,Melbourne Stars,0,1,1,ALLR,1,1,1,82.28573499999999,40.719120000000004
9,Peter Siddle,99300,Melbourne Stars,0,0,1,BOWL,1,1,1,76.32715000000002,37.464085000000004
10,Sam Harper,82100,Melbourne Stars,1,1,0,WK,1,1,1,80.75755500000005,38.75952500000002
11,Will Sutherland,191600,Melbourne Renegades,0,1,1,ALLR,1,1,1,166.95071499999995,109.84015499999998
