,match_id,player,season,resp_var,team,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,Home_f,rank,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder,venue_Adelaide Oval,venue_GABBA,venue_Hobart,venue_Marvel,venue_Melbourne Cricket Ground,venue_Other,venue_Perth Stadium,venue_SCG,venue_Sydney Showground,rank_group_High,rank_group_Low,rank_group_Middle,Home_Adelaide Strikers,Home_Melbourne Stars,Home_Melbourne Renegades,Home_Brisbane Heat,Home_Perth Scorchers,Home_Sydney Sixers,Home_Sydney Thunder,Home_Hobart Hurricanes
13,1023649.0,MG Johnson,6,81.0,Perth Scorchers,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1023649.0,MJ Lumb,6,5.0,Sydney Sixers,299.0,42.714285714285715,98.0,14.0,37.0,27.420881858626682,7.0,334.0,33.4,99.0,1.0,29.0,30.63476601655199,10.0,262.0,32.75,76.0,1.0,31.0,30.569592735265545,8.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1023649.0,NJ Maddinson,6,1.0,Sydney Sixers,194.0,32.333333333333336,105.0,0.0,21.0,39.45461527713414,6.0,421.0,42.1,120.0,2.0,22.5,42.077837925022294,10.0,287.0,31.88888888888889,86.0,0.0,18.0,31.750765520080158,9.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,1023649.0,NM Lyon,6,58.0,Sydney Sixers,216.0,72.0,137.0,29.0,50.0,57.262553208881634,3.0,234.0,58.5,99.0,29.0,53.0,29.4561821468205,4.0,193.0,48.25,106.0,7.0,40.0,44.32738055273136,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1023649.0,SA Abbott,6,10.0,Sydney Sixers,315.0,45.0,98.0,22.0,39.0,26.369173922088144,7.0,349.0,34.9,74.0,2.0,32.5,23.249611705240245,10.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1023649.0,SM Whiteman,6,66.0,Perth Scorchers,,,,,,,,111.0,15.857142857142858,36.0,0.0,15.0,12.915476135610481,7.0,153.0,21.857142857142858,63.0,4.0,17.0,20.828094579426217,7.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1023649.0,TT Bresnan,6,77.0,Perth Scorchers,,,,,,,,146.0,48.666666666666664,120.0,3.0,23.0,62.58061467685767,3.0,,,,,,,,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,1023647.0,AI Ross,6,17.0,Brisbane Heat,233.0,33.285714285714285,100.0,1.0,26.0,35.44815127156039,7.0,114.0,16.285714285714285,55.0,0.0,4.0,23.612950441895833,7.0,,,,,,,,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21,1023647.0,BB McCullum,6,94.0,Brisbane Heat,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22,1023647.0,BCJ Cutting,6,25.0,Brisbane Heat,363.0,45.375,67.0,12.0,47.5,16.81782642657147,8.0,323.0,46.142857142857146,83.0,31.0,43.0,17.276463482906173,7.0,456.0,57.0,128.0,6.0,61.0,41.282995461639096,8.0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23,1023647.0,BJ Dwarshuis,6,49.0,Sydney Sixers,256.0,64.0,97.0,33.0,63.0,26.204325342711392,4.0,104.0,34.666666666666664,51.0,4.0,49.0,26.57693235370353,3.0,,,,,,,,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
