,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Chris Green,145700,Sydney Thunder,0,0,1,BOWL,1,1,0,101.2575,67.6885
1,David Warner,151900,Sydney Thunder,0,1,0,BAT,1,1,0,112.85900000000001,75.7085
2,Gurinder Sandhu,104000,Melbourne Renegades,0,0,1,BOWL,1,1,0,105.35900000000001,49.9585
3,Jack Edwards,141700,Sydney Sixers,0,1,1,ALLR,1,1,1,70.6785,35.8145
4,Josh Brown,114400,Melbourne Renegades,0,1,0,BAT,1,1,1,73.432,34.7115
5,Lockie Ferguson,134300,Sydney Thunder,0,0,1,BOWL,1,1,1,163.7445,109.87899999999999
6,Peter Siddle,100200,Melbourne Stars,0,0,1,BOWL,1,1,1,77.5335,36.9805
7,Sam Billings,161800,Sydney Thunder,1,1,0,WK,1,1,1,102.9125,69.8755
8,Sam Harper,71700,Melbourne Stars,1,1,0,WK,1,1,1,66.803,29.8155
9,Spencer Johnson,157800,Brisbane Heat,0,0,1,BOWL,1,1,0,108.7945,52.986
10,Wes Agar,159200,Sydney Thunder,0,0,1,BOWL,1,1,1,197.56349999999998,132.564
11,Will Sutherland,148400,Melbourne Renegades,0,1,1,ALLR,1,1,1,72.93375,35.70625
