,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Chris Green,156100,Sydney Thunder,0,0,1,BOWL,1,1,1,43.992,43.992
1,Jack Edwards,111300,Sydney Sixers,0,1,1,ALLR,1,1,1,28.15175,28.15175
2,Josh Brown,86800,Melbourne Renegades,0,1,0,BAT,1,1,1,33.097,33.097
3,Mark Steketee,144500,Melbourne Stars,0,0,1,BOWL,1,1,0,53.433,53.433
4,Michael Neser,143900,Brisbane Heat,0,1,1,ALLR,1,1,0,53.602,53.602
5,Mitch Owen,162900,Hobart Hurricanes,0,1,1,ALLR,1,1,1,39.3405,39.3405
6,Nathan Ellis,127200,Hobart Hurricanes,0,0,1,BOWL,1,1,1,56.245,56.245
7,Peter Hatzoglou,65800,Hobart Hurricanes,0,0,1,BOWL,1,1,1,29.198,29.198
8,Sam Harper,62600,Melbourne Stars,1,1,0,WK,1,1,1,27.984,27.984
9,Spencer Johnson,182800,Brisbane Heat,0,0,1,BOWL,1,1,1,43.0285,43.0285
10,Tom Rogers,180700,Melbourne Renegades,0,0,1,BOWL,1,1,0,54.4675,54.4675
11,Will Sutherland,186300,Melbourne Renegades,0,1,1,ALLR,1,1,1,39.501,39.501
