,match_id,player,season,resp_var,team,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,Home_f,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f,innings,prev_game_fp,last_2g_avg_fp,curr_seas_total_fp,curr_seas_avg_fp,curr_seas_max_fp,curr_seas_min_fp,curr_seas_std_fp,last_3g_avg_fp,rank,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder,venue_Adelaide Oval,venue_GABBA,venue_Hobart,venue_Marvel,venue_Melbourne Cricket Ground,venue_Other,venue_Perth Stadium,venue_SCG,venue_Sydney Showground,rank_group_High,rank_group_Low,rank_group_Middle,bat_position_1.0,bat_position_2.0,bat_position_3.0,bat_position_4.0,bat_position_5.0,bat_position_6.0,bat_position_7.0,bat_position_8.0,bat_position_9.0,bat_position_10.0,bat_position_11.0,bat_position_DNB,Home_Adelaide Strikers,Home_Melbourne Stars,Home_Melbourne Renegades,Home_Brisbane Heat,Home_Perth Scorchers,Home_Sydney Sixers,Home_Sydney Thunder,Home_Hobart Hurricanes
7406,1226852.0,JC Silk,10,13.0,Sydney Sixers,223.0,22.3,52.0,2.0,19.0,16.80641411948294,10.0,370.0,30.833333333333332,87.0,0.0,21.5,29.652022262274528,12.0,196.0,49.0,80.0,16.0,50.0,26.47010892812243,4.0,0,,,,,,,,,,,,,,,,,,,,,2.0,9.0,28.5,298.0,49.66666666666666,108.0,0.0,40.29226559361817,42.333333333333336,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7407,1226852.0,JM Vince,10,97.0,Sydney Sixers,433.0,28.866666666666667,71.0,1.0,22.0,24.059054329671714,15.0,349.0,43.625,105.0,6.0,28.5,38.51878020617253,8.0,90.0,30.0,45.0,1.0,44.0,25.11971337416094,3.0,0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,27.5,97.0,16.166666666666668,55.0,0.0,20.83666640004266,24.0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7408,1226852.0,JP Faulkner,10,92.0,Hobart Hurricanes,334.0,47.714285714285715,79.0,4.0,49.0,26.71899627427576,7.0,611.0,47.0,115.0,4.0,49.0,39.60008417499471,13.0,403.0,40.3,102.0,2.0,44.5,30.10370962744182,10.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,78.5,157.0,78.5,119.0,38.0,57.27564927611035,78.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7409,1226852.0,JR Philippe,10,1.0,Sydney Sixers,642.0,40.125,116.0,1.0,25.0,39.50675047803013,16.0,534.0,35.6,121.0,0.0,32.0,32.60762399895373,15.0,7.0,7.0,7.0,7.0,7.0,,1.0,0,,,,,,,,,,,,,,,,,,,,,2.0,22.0,44.0,298.0,49.66666666666666,130.0,5.0,45.29311941859013,72.66666666666667,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7410,1226852.0,M Wright,10,8.0,Hobart Hurricanes,189.0,47.25,90.0,5.0,47.0,46.00996268925532,4.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7411,1226852.0,NT Ellis,10,65.0,Hobart Hurricanes,552.0,36.8,98.0,1.0,41.0,28.130309022730017,15.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,37.0,59.5,378.0,63.0,111.0,34.0,32.04996099841621,51.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7412,1226852.0,PSP Handscomb,10,29.0,Hobart Hurricanes,253.0,25.3,95.0,3.0,14.0,29.484647605905764,10.0,258.0,28.666666666666668,105.0,0.0,8.0,35.84689665786984,9.0,151.0,21.571428571428573,72.0,1.0,8.0,25.76080448314935,7.0,1,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.5,101.0,20.2,55.0,3.0,21.53369452741447,11.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7413,1226852.0,RP Meredith,10,57.0,Hobart Hurricanes,335.0,55.833333333333336,94.0,25.0,48.5,31.783119209207058,6.0,572.0,44.0,138.0,4.0,28.0,39.30436786584073,13.0,34.0,17.0,26.0,8.0,17.0,12.727922061357855,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,88.0,48.5,173.0,28.83333333333333,88.0,9.0,29.620375869773607,38.333333333333336,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7414,1226852.0,SM Boland,10,58.0,Hobart Hurricanes,502.0,50.2,135.0,5.0,37.5,38.28489693512748,10.0,162.0,27.0,62.0,5.0,19.0,24.673872821265817,6.0,46.0,15.333333333333334,23.0,3.0,20.0,10.785793124908958,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,62.0,385.0,64.16666666666667,119.0,5.0,46.42161852700384,74.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7415,1226852.0,SNJ O'Keefe,10,26.0,Sydney Sixers,268.0,38.285714285714285,73.0,10.0,41.0,21.561650259309047,7.0,810.0,54.0,116.0,2.0,56.0,26.535690251863755,15.0,188.0,47.0,53.0,36.0,49.5,7.788880963698615,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,44.0,67.5,231.0,57.75,91.0,30.0,26.663020584072363,55.0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7416,1226852.0,TH David,10,93.0,Hobart Hurricanes,141.0,23.5,43.0,3.0,19.5,15.719414747375298,6.0,,,,,,,,61.0,20.333333333333332,42.0,3.0,16.0,19.85782801147531,3.0,1,,,,,,,,,,,,,,,,,,,,,1.0,46.0,27.0,171.0,28.5,46.0,7.0,17.432727841620196,28.666666666666668,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7417,1226852.0,WG Jacks,10,0.0,Hobart Hurricanes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0,44.0,22.0,130.0,26.0,58.0,0.0,25.739075352467506,34.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7418,1226867.0,ADS Fletcher,10,26.0,Melbourne Stars,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.0,7.0,12.5,200.0,28.571428571428573,124.0,4.0,42.40619900775964,9.666666666666666,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7419,1226867.0,AJ Turner,10,64.0,Perth Scorchers,107.0,15.285714285714286,46.0,1.0,4.0,18.91837101615152,7.0,528.0,37.714285714285715,104.0,0.0,18.5,40.04118758599329,14.0,397.0,36.09090909090909,105.0,0.0,23.0,40.736849523384954,11.0,0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,228.0,22.8,49.0,0.0,20.692457026118905,0.3333333333333333,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
