Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available
Kellaway,Campbell,C,Campbell Kellaway,C Kellaway,58500,Melbourne Stars,BAT,0
Kelly,Matt,M,Matt Kelly,M Kelly,98100,Perth Scorchers,BOWL,0
Kelly,Thomas,T,Thomas Kelly,T Kelly,61400,Adelaide Strikers,BAT,0
Kerr,Hayden,H,Hayden Kerr,H Kerr,105000,Sydney Sixers,ALLR,1
Khan,Hassan,,Hassan Khan,Hassan Khan,117500,Melbourne Renegades,ALLR,1
Khawaja,Usman,UT,Usman Khawaja,UT Khawaja,130000,Brisbane Heat,BAT,1
Konstas,Sam,,Sam Konstas,Sam Konstas,39500,Sydney Thunder,BAT,0
Kuhnemann,Matthew,MP,Matthew Kuhnemann,MP Kuhnemann,137700,Brisbane Heat,BOWL,1
Labuschagne,Marnus,M,Marnus Labuschagne,M Labuschagne,130000,Brisbane Heat,BAT,1
Lynn,Chris,CA,Chris Lynn,CA Lynn,197900,Adelaide Strikers,BAT,1
Lyon,Nathan,NM,Nathan Lyon,NM Lyon,58500,Melbourne Renegades,BOWL,0
Maddinson,Nic,NJ,Nic Maddinson,NJ Maddinson,58500,Sydney Thunder,BAT,1
Manenti,Ben,BAD,Ben Manenti,BAD Manenti,58500,Sydney Sixers,BOWL,0
Marsh,Mitchell,MR,Mitchell Marsh,MR Marsh,152000,Perth Scorchers,ALLR,0
Maxwell,Glenn,GJ,Glenn Maxwell,GJ Maxwell,247400,Melbourne Stars,ALLR,0
McAndrew,Nathan,N,Nathan McAndrew,N McAndrew,101100,Sydney Thunder,BOWL,1
McDermott,Ben,BR,Ben McDermott,BR McDermott,138800,Hobart Hurricanes,WK,1
McKenzie,Hamish,H,Hamish McKenzie,H McKenzie,69400,Melbourne Stars,BOWL,0
McSweeney,Nathan,NA,Nathan McSweeney,NA McSweeney,93500,Brisbane Heat,BAT,1
Meredith,Riley,RP,Riley Meredith,RP Meredith,83400,Hobart Hurricanes,BOWL,1
Merlo,Jonathan,J,Jonathan Merlo,J Merlo,58500,Melbourne Stars,ALLR,0
Milne,Adam,AF,Adam Milne,AF Milne,117500,Melbourne Stars,BOWL,1
Mir,Usama,Usama,Usama Mir,Usama Mir,124600,Melbourne Stars,BOWL,0
Morris,Lance,LR,Lance Morris,LR Morris,148100,Perth Scorchers,BOWL,1
Munro,Colin,C,Colin Munro,C Munro,130400,Brisbane Heat,BAT,1
Murphy,Todd,T,Todd Murphy,T Murphy,81400,Sydney Sixers,BOWL,1
Neser,Michael,MG,Michael Neser,MG Neser,175400,Brisbane Heat,ALLR,0
Nielsen,Harry,HJ,Harry Nielsen,HJ Nielsen,58500,Adelaide Strikers,WK,0
O'Neill,Fergus,F,Fergus O'Neill,F O'Neill,107500,Melbourne Renegades,BOWL,1
Overton,Jamie,J,Jamie Overton,J Overton,207700,Adelaide Strikers,ALLR,1
Owen,Mitch,MJ,Mitch Owen,MJ Owen,58500,Hobart Hurricanes,ALLR,0
Paris,Joel,JS,Joel Paris,JS Paris,72200,Melbourne Stars,BOWL,0
Patterson,Kurtis,KR,Kurtis Patterson,KR Patterson,62400,Sydney Sixers,BAT,0
Peirson,Jimmy,JJ,Jimmy Peirson,JJ Peirson,107500,Brisbane Heat,WK,1
Perry,Mitchell,,Mitchell Perry,Mitchell Perry,39500,Sydney Sixers,BOWL,0
Philippe,Josh,JR,Josh Philippe,JR Philippe,132600,Sydney Sixers,WK,1
Pope,Lloyd,L,Lloyd Pope,L Pope,134400,Adelaide Strikers,BOWL,1
Pope,Ollie,,Ollie Pope,Ollie Pope,152000,Adelaide Strikers,BAT,1
Prestwidge,Will,W,Will Prestwidge,W Prestwidge,58500,Brisbane Heat,BOWL,0
Renshaw,Matthew,MT,Matthew Renshaw,MT Renshaw,68800,Brisbane Heat,BAT,1
