match_id,player,season,team,power_surge_flag,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder
1226829,MR Marsh,10,Perth Scorchers,0,0,0,0,0,0,0,1,0
1226829,BJ Dwarshuis,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,CR Brathwaite,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,DP Hughes,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,DT Christian,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,J Edwards,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,JC Silk,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,JM Bird,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,JM Vince,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,JR Philippe,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,JT Ball,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,L Pope,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226829,SNJ O'Keefe,10,Sydney Sixers,0,0,0,0,0,0,1,0,0
1226830,BR McDermott,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,CA Ingram,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,DJM Short,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,JP Faulkner,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,KMA Paul,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,NT Ellis,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,PSP Handscomb,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,RP Meredith,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,SM Boland,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,TH David,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,WG Jacks,10,Hobart Hurricanes,0,0,0,0,1,0,0,0,0
1226830,BJ Webster,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,J Fraser-McGurk,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,JK Lalor,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
