Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Johnson,Spencer,SH,Spencer Johnson,SH Johnson,121800,Brisbane Heat,BOWL,0,0
Jordan,Chris,CJ,Chris Jordan,CJ Jordan,135300,Hobart Hurricanes,BOWL,0,0
Kellaway,Campbell,C,Campbell Kellaway,C Kellaway,53900,Melbourne Stars,BAT,0,0
Kelly,Matt,M,Matt Kelly,M Kelly,98100,Perth Scorchers,BOWL,0,0
Kelly,Thomas,T,Thomas Kelly,T Kelly,61400,Adelaide Strikers,BAT,0,0
Kerr,Hayden,H,Hayden Kerr,H Kerr,103500,Sydney Sixers,ALLR,0,0
Khan,Hassan,,Hassan Khan,Hassan Khan,115000,Melbourne Renegades,ALLR,0,0
Khawaja,Usman,UT,Usman Khawaja,UT Khawaja,130000,Brisbane Heat,BAT,1,0
Konstas,Sam,,Sam Konstas,Sam Konstas,61000,Sydney Thunder,BAT,1,0
Kuhnemann,Matthew,MP,Matthew Kuhnemann,MP Kuhnemann,133300,Brisbane Heat,BOWL,1,0
Labuschagne,Marnus,M,Marnus Labuschagne,M Labuschagne,130000,Brisbane Heat,BAT,1,0
Lynn,Chris,CA,Chris Lynn,CA Lynn,181700,Adelaide Strikers,BAT,0,1
Lyon,Nathan,NM,Nathan Lyon,NM Lyon,58500,Melbourne Renegades,BOWL,0,0
Maddinson,Nic,NJ,Nic Maddinson,NJ Maddinson,58500,Sydney Thunder,BAT,0,0
Manenti,Ben,BAD,Ben Manenti,BAD Manenti,58500,Sydney Sixers,BOWL,0,0
Marsh,Mitchell,MR,Mitchell Marsh,MR Marsh,152000,Perth Scorchers,ALLR,0,0
Maxwell,Glenn,GJ,Glenn Maxwell,GJ Maxwell,247400,Melbourne Stars,ALLR,0,0
McAndrew,Nathan,N,Nathan McAndrew,N McAndrew,93300,Sydney Thunder,BOWL,1,0
McDermott,Ben,BR,Ben McDermott,BR McDermott,132100,Hobart Hurricanes,WK,0,0
McKenzie,Hamish,H,Hamish McKenzie,H McKenzie,68100,Melbourne Stars,BOWL,0,0
McSweeney,Nathan,NA,Nathan McSweeney,NA McSweeney,93500,Brisbane Heat,BAT,1,0
Meredith,Riley,RP,Riley Meredith,RP Meredith,83200,Hobart Hurricanes,BOWL,0,0
Merlo,Jonathan,J,Jonathan Merlo,J Merlo,58500,Melbourne Stars,ALLR,0,0
Milne,Adam,AF,Adam Milne,AF Milne,106700,Melbourne Stars,BOWL,0,0
Mir,Usama,Usama,Usama Mir,Usama Mir,124600,Melbourne Stars,BOWL,0,0
Morris,Lance,LR,Lance Morris,LR Morris,148200,Perth Scorchers,BOWL,0,0
Munro,Colin,C,Colin Munro,C Munro,130400,Brisbane Heat,BAT,1,0
Murphy,Todd,T,Todd Murphy,T Murphy,75500,Sydney Sixers,BOWL,1,0
Neser,Michael,MG,Michael Neser,MG Neser,175400,Brisbane Heat,ALLR,0,0
Nielsen,Harry,HJ,Harry Nielsen,HJ Nielsen,55600,Adelaide Strikers,WK,0,0
O'Neill,Fergus,F,Fergus O'Neill,F O'Neill,120300,Melbourne Renegades,BOWL,1,0
Overton,Jamie,J,Jamie Overton,J Overton,214600,Adelaide Strikers,ALLR,0,1
Owen,Mitch,MJ,Mitch Owen,MJ Owen,58400,Hobart Hurricanes,ALLR,0,0
Paris,Joel,JS,Joel Paris,JS Paris,72200,Melbourne Stars,BOWL,0,0
Patterson,Kurtis,KR,Kurtis Patterson,KR Patterson,62400,Sydney Sixers,BAT,0,0
Peirson,Jimmy,JJ,Jimmy Peirson,JJ Peirson,122300,Brisbane Heat,WK,1,0
Perry,Mitchell,,Mitchell Perry,Mitchell Perry,39500,Sydney Sixers,BOWL,0,0
Philippe,Josh,JR,Josh Philippe,JR Philippe,127600,Sydney Sixers,WK,1,0
Pope,Lloyd,L,Lloyd Pope,L Pope,131700,Adelaide Strikers,BOWL,0,0
Pope,Ollie,,Ollie Pope,Ollie Pope,152000,Adelaide Strikers,BAT,0,0
Prestwidge,Will,W,Will Prestwidge,W Prestwidge,56600,Brisbane Heat,BOWL,0,0
Renshaw,Matthew,MT,Matthew Renshaw,MT Renshaw,67400,Brisbane Heat,BAT,1,0
Richardson,Jhye,JA,Jhye Richardson,JA Richardson,144400,Perth Scorchers,BOWL,0,0
Richardson,Kane,KW,Kane Richardson,KW Richardson,93100,Melbourne Renegades,BOWL,1,0
Rogers,Tom,TS,Tom Rogers,TS Rogers,126600,Melbourne Renegades,BOWL,1,0
Rogers,Tom,TF,Tom Rogers,TF Rogers,79100,Melbourne Stars,BAT,0,0
Ross,Alex,AI,Alex Ross,AI Ross,86500,Adelaide Strikers,BAT,0,0
Rutherford,Sherfane,,Sherfane Rutherford,Sherfane Rutherford,140000,Sydney Thunder,BAT,1,0
Salamkheil,Waqar,,Waqar Salamkheil,Waqar Salamkheil,107600,Hobart Hurricanes,BOWL,0,0
Salzmann,Will,,Will Salzmann,Will Salzmann,39500,Sydney Thunder,ALLR,0,0
Sams,Daniel,DR,Daniel Sams,DR Sams,167600,Sydney Thunder,ALLR,1,0
Sandhu,Gurinder,GS,Gurinder Sandhu,GS Sandhu,94100,Melbourne Renegades,BOWL,1,0
Sangha,Jason,JJS,Jason Sangha,JJS Sangha,73800,Sydney Thunder,BAT,0,0
Sangha,Tanveer,T,Tanveer Sangha,T Sangha,122700,Sydney Thunder,BOWL,1,0
Seifert,Tim,,Tim Seifert,Tim Seifert,170100,Melbourne Renegades,WK,1,0
Short,D'Arcy,DJM,D'Arcy Short,DJM Short,114200,Adelaide Strikers,BAT,0,0
Short,Matthew,MW,Matthew Short,MW Short,288700,Adelaide Strikers,ALLR,0,1
Siddle,Peter,PM,Peter Siddle,PM Siddle,72400,Melbourne Stars,BOWL,0,1
Silk,Jordan,JC,Jordan Silk,JC Silk,97000,Sydney Sixers,BAT,1,0
Smith,Steve,SPD,Steve Smith,SPD Smith,218400,Sydney Sixers,BAT,0,0
Spoors,Matthew,,Matthew Spoors,Matthew Spoors,58500,Perth Scorchers,ALLR,0,0
Stanlake,Billy,B,Billy Stanlake,B Stanlake,59900,Hobart Hurricanes,BOWL,0,0
Steketee,Mark,MT,Mark Steketee,MT Steketee,79100,Melbourne Stars,BOWL,0,0
